,id,title,original_language,popularity,vote_average,vote_count
0,278,The Shawshank Redemption,en,119.618,8.704,25714
1,238,The Godfather,en,110.09,8.695,19538
2,240,The Godfather Part II,en,78.143,8.6,11799
3,424,Schindler's List,en,66.345,8.565,15178
4,693134,Dune: Part Two,en,1923.174,8.534,667
5,129,Chihiroren Bidaia,ja,95.678,8.5,15584
6,389,12 Angry Men,en,52.088,8.538,8094
7,19404,दिलवाले दुल्हनिया ले जायेंगे,hi,28.723,8.535,4353
8,155,The Dark Knight,en,95.006,8.5,31554
9,496243,기생충,ko,100.683,8.51,17205
10,497,The Green Mile,en,76.717,8.508,16550
11,372058,君の名は。,ja,80.867,8.496,10799
12,680,Pulp Fiction,en,108.464,8.5,26733
13,122,The Lord of the Rings: The Return of the King,en,112.174,8.477,23106
14,13,Forrest Gump,en,105.376,8.477,26254
15,769,GoodFellas,en,60.962,8.467,12191
16,429,"Il buono, il brutto, il cattivo",it,66.165,8.466,8113
17,12477,火垂るの墓,ja,0.6,8.462,5132
18,11216,Nuovo Cinema Paradiso,it,50.665,8.5,4131
19,346,七人の侍,ja,31.189,8.454,3417
20,637,La vita è bella,it,38.67,8.453,12594
21,568332,Taylor Swift: Reputation Stadium Tour,en,19.327,8.442,351
22,550,Fight Club,en,92.146,8.4,28120
23,598,Cidade de Deus,pt,42.259,8.434,6952
24,539,Psycho,en,42.064,8.434,9611
25,372754,同級生,ja,12.306,8.433,342
26,696374,Gabriel's Inferno,en,11.893,8.431,2386
27,157336,Interstellar,en,167.648,8.4,33776
28,667257,Cosas imposibles,es,9.028,8.427,368
29,311,Once Upon a Time in America,en,39.273,8.424,5086
30,510,One Flew Over the Cuckoo's Nest,en,51.194,8.4,9964
31,724089,Gabriel's Inferno: Part II,en,10.671,8.413,1497
32,120,The Lord of the Rings: The Fellowship of the Ring,en,131.697,8.409,24040
33,324857,Spider-Man: Into the Spider-Verse,en,85.441,8.406,14729
34,4935,Gaztelu ibiltaria,ja,104.434,8.405,9198
35,40096,O Auto da Compadecida,pt,10.661,8.401,1046
36,761053,Gabriel's Inferno: Part III,en,24.046,8.4,1040
37,255709,소원,ko,21.844,8.394,630
38,121,The Lord of the Rings: The Two Towers,en,96.593,8.4,20897
39,1891,Izarretako Gerra V Inperioaren Kontraerasoa,en,37.101,8.39,16245
40,423,The Pianist,en,46.257,8.383,8703
